1901,1901 American League Team Review Hitting Statistics League Leaderboard,1901 American League Team Review Hitting Statistics League Leaderboard,1901 American League Team Review Hitting Statistics League Leaderboard
1958,1958 American League Team Review Hitting Statistics League Leaderboard,1958 American League Team Review Hitting Statistics League Leaderboard,1958 American League Team Review Hitting Statistics League Leaderboard
1958,Statistic,Team,#
1958,Base on Balls,Boston,638
1958,Batting Average,New York,.268
1958,Doubles,Boston,229
1958,Doubles,Detroit,229
1958,Hits,New York,1418
1958,Home Runs,New York,164
1958,On Base Percentage,Boston,.340
1958,Runs,New York,759
1958,Slugging Average,New York,.416
1958,Stolen Bases,Chicago,101
1958,Triples,Kansas City,50
1958,1958 American League Team Review Pitching Statistics League Leaderboard,1958 American League Team Review Pitching Statistics League Leaderboard,1958 American League Team Review Pitching Statistics League Leaderboard
1958,Statistic,Team,#
1958,Complete Games,Detroit,59
1958,ERA,New York,3.22
1958,Fewest Hits Allowed,New York,1201
1958,Fewest Home Runs Allowed,Baltimore,106
1958,Fewest Walks Allowed,Baltimore,403
1958,Saves,New York,33
1958,Shutouts,New York,21
1958,Strikeouts,Detroit,797
1959,1959 American League Team Review Hitting Statistics League Leaderboard,1959 American League Team Review Hitting Statistics League Leaderboard,1959 American League Team Review Hitting Statistics League Leaderboard
1959,Statistic,Team,#
1959,Base on Balls,Boston,626
1959,Batting Average,Kansas City,.263
1959,Doubles,Boston,248
1959,Hits,New York,1397
1959,Home Runs,Cleveland,167
1959,On Base Percentage,Detroit,.338
1959,Runs,Cleveland,745
1959,Slugging Average,Cleveland,.408
1959,Stolen Bases,Chicago,113
1959,Triples,Chicago,46
1959,1959 American League Team Review Pitching Statistics League Leaderboard,1959 American League Team Review Pitching Statistics League Leaderboard,1959 American League Team Review Pitching Statistics League Leaderboard
1959,Statistic,Team,#
1959,Complete Games,Cleveland,58
1959,ERA,Chicago,3.29
1959,Fewest Hits Allowed,Cleveland,1230
1959,Fewest Home Runs Allowed,Baltimore,111
1959,Fewest Walks Allowed,Detroit,432
1959,Saves,Chicago,36
1959,Shutouts,Baltimore,15
1959,Shutouts,New York,15
1959,Strikeouts,New York,836
1960,1960 American League Team Review Hitting Statistics League Leaderboard,1960 American League Team Review Hitting Statistics League Leaderboard,1960 American League Team Review Hitting Statistics League Leaderboard
1960,Statistic,Team,#
1960,Base on Balls,Detroit,636
1960,Batting Average,Chicago,.270
1960,Doubles,Chicago,242
1960,Hits,Cleveland,1415
1960,Home Runs,New York,193
1960,On Base Percentage,Chicago,.348
1960,Runs,New York,746
1960,Slugging Average,New York,.426
1960,Stolen Bases,Chicago,122
1960,Triples,Washington,43
1960,1960 American League Team Review Pitching Statistics League Leaderboard,1960 American League Team Review Pitching Statistics League Leaderboard,1960 American League Team Review Pitching Statistics League Leaderboard
1960,Statistic,Team,#
1960,Complete Games,Baltimore,48
1960,ERA,New York,3.52
1960,Fewest Hits Allowed,Baltimore,1222
1960,Fewest Home Runs Allowed,Baltimore,117
1960,Fewest Walks Allowed,Detroit,474
1960,Saves,New York,42
1960,Shutouts,New York,16
1960,Strikeouts,Detroit,824
1961,1961 American League Team Review Hitting Statistics League Leaderboard,1961 American League Team Review Hitting Statistics League Leaderboard,1961 American League Team Review Hitting Statistics League Leaderboard
1961,Statistic,Team,#
1961,Base on Balls,Los Angeles,681
1961,Batting Average,Detroit,.266
1961,Doubles,Cleveland,257
1961,Hits,Cleveland,1493
1961,Home Runs,New York,240
1961,On Base Percentage,Detroit,.349
1961,Runs,Detroit,841
1961,Slugging Average,New York,.442
1961,Stolen Bases,Chicago,100
1961,Triples,Detroit,53
1961,Statistic,Team,#
1961,1961 American League Team Review Pitching Statistics League Leaderboard,1961 American League Team Review Pitching Statistics League Leaderboard,1961 American League Team Review Pitching Statistics League Leaderboard
1961,Statistic,Team,#
1961,Complete Games,Detroit,62
1961,ERA,Baltimore,3.22
1961,Fewest Hits Allowed,Baltimore,1226
1961,Fewest Home Runs Allowed,Baltimore,109
1961,Fewest Walks Allowed,Detroit,469
1961,Saves,New York,39
1961,Shutouts,Baltimore,21
1961,Strikeouts,Los Angeles,973
1961,Statistic,Team,#
1962,1962 American League Team Review Hitting Statistics League Leaderboard,1962 American League Team Review Hitting Statistics League Leaderboard,1962 American League Team Review Hitting Statistics League Leaderboard
1962,Statistic,Team,#
1962,Base on Balls,Detroit,651
1962,Batting Average,New York,.267
1962,Doubles,Boston,257
1962,Hits,New York,1509
1962,Home Runs,Detroit,209
1962,On Base Percentage,Minnesota,.340
1962,Runs,New York,817
1962,Slugging Average,New York,.426
1962,Stolen Bases,Washington,99
1962,Triples,Kansas City,58
1962,1962 American League Team Review Pitching Statistics League Leaderboard,1962 American League Team Review Pitching Statistics League Leaderboard,1962 American League Team Review Pitching Statistics League Leaderboard
1962,Statistic,Team,#
1962,Complete Games,Minnesota,53
1962,ERA,Baltimore,3.70
1962,Fewest Hits Allowed,Baltimore,1373
1962,Fewest Home Runs Allowed,Los Angeles,118
1962,Fewest Walks Allowed,Minnesota,493
1962,Saves,Los Angeles,47
1962,Shutouts,Los Angeles,15
1962,Strikeouts,Minnesota,948
1963,1963 American League Team Review Hitting Statistics League Leaderboard,1963 American League Team Review Hitting Statistics League Leaderboard,1963 American League Team Review Hitting Statistics League Leaderboard
1963,Statistic,Team,#
1963,Base on Balls,Detroit,592
1963,Batting Average,Minnesota,.255
1963,Doubles,Boston,247
1963,Hits,Minnesota,1408
1963,Home Runs,Minnesota,225
1963,On Base Percentage,Detroit,.329
1963,Runs,Minnesota,767
1963,Slugging Average,Minnesota,.430
1963,Stolen Bases,Baltimore,97
1963,Triples,Chicago,40
1963,1963 American League Team Review Pitching Statistics League Leaderboard,1963 American League Team Review Pitching Statistics League Leaderboard,1963 American League Team Review Pitching Statistics League Leaderboard
1963,Statistic,Team,#
1963,Complete Games,New York,59
1963,ERA,Chicago,2.98
1963,Fewest Hits Allowed,New York,1239
1963,Fewest Home Runs Allowed,Chicago,100
1963,Fewest Walks Allowed,Chicago,440
1963,Saves,Baltimore,43
1963,Shutouts,Chicago,21
1963,Strikeouts,Cleveland,1019
1964,1964 American League Team Review Hitting Statistics League Leaderboard,1964 American League Team Review Hitting Statistics League Leaderboard,1964 American League Team Review Hitting Statistics League Leaderboard
1964,Statistic,Team,#
1964,Base on Balls,Chicago,562
1964,Batting Average,Boston,.258
1964,Doubles,Boston,253
1964,Hits,New York,1442
1964,Home Runs,Minnesota,221
1964,On Base Percentage,Minnesota,.324
1964,Runs,Minnesota,737
1964,Slugging Average,Minnesota,.427
1964,Stolen Bases,Cleveland,79
1964,Triples,Detroit,57
1964,1964 American League Team Review Pitching Statistics League Leaderboard,1964 American League Team Review Pitching Statistics League Leaderboard,1964 American League Team Review Pitching Statistics League Leaderboard
1964,Statistic,Team,#
1964,Complete Games,Minnesota,47
1964,ERA,Chicago,2.73
1964,Fewest Hits Allowed,Chicago,1216
1964,Fewest Home Runs Allowed,Los Angeles,100
1964,Fewest Walks Allowed,Chicago,401
1964,Saves,Chicago,45
1964,Saves,New York,45
1964,Shutouts,Los Angeles,28
1964,Strikeouts,Cleveland,1162
1965,1965 American League Team Review Hitting Statistics League Leaderboard,1965 American League Team Review Hitting Statistics League Leaderboard,1965 American League Team Review Hitting Statistics League Leaderboard
1965,Statistic,Team,#
1965,Base on Balls,Boston,607
1965,Batting Average,Minnesota,.254
1965,Doubles,Minnesota,257
1965,Hits,Minnesota,1396
1965,Home Runs,Boston,165
1965,On Base Percentage,Boston,.329
1965,Runs,Minnesota,774
1965,Slugging Average,Boston,.400
1965,Stolen Bases,Kansas City,110
1965,Triples,Kansas City,59
1965,Statistic,Team,#
1965,1965 American League Team Review Pitching Statistics League Leaderboard,1965 American League Team Review Pitching Statistics League Leaderboard,1965 American League Team Review Pitching Statistics League Leaderboard
1965,Statistic,Team,#
1965,Complete Games,Detroit,45
1965,ERA,Baltimore,2.98
1965,Fewest Hits Allowed,Cleveland,1254
1965,Fewest Home Runs Allowed,California,91
1965,Fewest Walks Allowed,Chicago,460
1965,Saves,Chicago,53
1965,Shutouts,Baltimore,15
1965,Strikeouts,Cleveland,1156
1965,Statistic,Team,#
1966,1966 American League Team Review Hitting Statistics League Leaderboard,1966 American League Team Review Hitting Statistics League Leaderboard,1966 American League Team Review Hitting Statistics League Leaderboard
1966,Statistic,Team,#
1966,Base on Balls,Detroit,551
1966,Batting Average,Baltimore,.258
1966,Doubles,Baltimore,243
1966,Hits,Baltimore,1426
1966,Home Runs,Detroit,179
1966,On Base Percentage,Baltimore,.325
1966,Runs,Baltimore,755
1966,Slugging Average,Baltimore,.409
1966,Stolen Bases,Chicago,153
1966,Triples,Kansas City,56
1966,Statistic,Team,#
1966,1966 AL Team Hitting Stats,1966 AL Team Hitting Stats,1966 AL Team Hitting Stats
1966,1966 American League Team Review Pitching Statistics League Leaderboard,1966 American League Team Review Pitching Statistics League Leaderboard,1966 American League Team Review Pitching Statistics League Leaderboard
1966,Statistic,Team,#
1966,Complete Games,Minnesota,52
1966,ERA,Chicago,2.69
1966,Fewest Hits Allowed,Chicago,1229
1966,Fewest Home Runs Allowed,Chicago,101
1966,Fewest Walks Allowed,Minnesota,392
1966,Saves,Baltimore,51
1966,Shutouts,Chicago,22
1966,Strikeouts,Cleveland,1111
1966,Statistic,Team,#
1966,1966 AL Team Pitching Stats,1966 AL Team Pitching Stats,1966 AL Team Pitching Stats
1967,1967 American League Team Review Hitting Statistics League Leaderboard,1967 American League Team Review Hitting Statistics League Leaderboard,1967 American League Team Review Hitting Statistics League Leaderboard
1967,Statistic,Team,#
1967,Base on Balls,Detroit,626
1967,Batting Average,Boston,.255
1967,Doubles,Boston,216
1967,Doubles,Minnesota,216
1967,Hits,Boston,1394
1967,Home Runs,Boston,158
1967,On Base Percentage,Detroit,.327
1967,Runs,Boston,722
1967,Slugging Average,Boston,.395
1967,Stolen Bases,Kansas City,132
1967,Triples,Kansas City,50
1967,Statistic,Team,#
1967,1967 American League Team Review Pitching Statistics League Leaderboard,1967 American League Team Review Pitching Statistics League Leaderboard,1967 American League Team Review Pitching Statistics League Leaderboard
1967,Statistic,Team,#
1967,Complete Games,Minnesota,58
1967,ERA,Chicago,2.45
1967,Fewest Hits Allowed,Chicago,1197
1967,Fewest Home Runs Allowed,Chicago,87
1967,Fewest Walks Allowed,Minnesota,396
1967,Saves,California,46
1967,Shutouts,Chicago,24
1967,Strikeouts,Cleveland,1189
1967,Statistic,Team,#
1968,1968 American League Team Review Hitting Statistics League Leaderboard,1968 American League Team Review Hitting Statistics League Leaderboard,1968 American League Team Review Hitting Statistics League Leaderboard
1968,Statistic,Team,#
1968,Base on Balls,Boston,582
1968,Batting Average,Oakland,.240
1968,Doubles,Baltimore,215
1968,Hits,Oakland,1300
1968,Home Runs,Detroit,185
1968,On Base Percentage,Boston,.316
1968,Runs,Detroit,671
1968,Slugging Average,Detroit,.385
1968,Stolen Bases,Oakland,147
1968,Triples,Minnesota,41
1968,1968 American League Team Review Pitching Statistics League Leaderboard,1968 American League Team Review Pitching Statistics League Leaderboard,1968 American League Team Review Pitching Statistics League Leaderboard
1968,Statistic,Team,#
1968,Complete Games,Detroit,59
1968,ERA,Cleveland,2.66
1968,Fewest Hits Allowed,Cleveland,1087
1968,Fewest Home Runs Allowed,Minnesota,92
1968,Fewest Walks Allowed,Minnesota,414
1968,Saves,Chicago,40
1968,Shutouts,Cleveland,23
1968,Strikeouts,Cleveland,1157
1969,1969 American League Team Review Hitting Statistics League Leaderboard,1969 American League Team Review Hitting Statistics League Leaderboard,1969 American League Team Review Hitting Statistics League Leaderboard
1969,Statistic,Team,#
1969,Base on Balls,Boston,658
1969,Batting Average,Minnesota,.268
1969,Doubles,Minnesota,246
1969,Hits,Minnesota,1520
1969,Home Runs,Boston,197
1969,On Base Percentage,Baltimore,.346
1969,Runs,Minnesota,790
1969,Slugging Average,Boston,.415
1969,Stolen Bases,Seattle,167
1969,Triples,New York,44
1969,1969 American League Team Review Pitching Statistics League Leaderboard,1969 American League Team Review Pitching Statistics League Leaderboard,1969 American League Team Review Pitching Statistics League Leaderboard
1969,Statistic,Team,#
1969,Complete Games,Detroit,55
1969,ERA,Baltimore,2.83
1969,Fewest Hits Allowed,Baltimore,1194
1969,Fewest Home Runs Allowed,Baltimore,117
1969,Fewest Walks Allowed,Baltimore,498
1969,Saves,Minnesota,43
1969,Shutouts,Baltimore,20
1969,Shutouts,Detroit,20
1969,Strikeouts,Detroit,1032
1970,1970 American League Team Review Hitting Statistics League Leaderboard,1970 American League Team Review Hitting Statistics League Leaderboard,1970 American League Team Review Hitting Statistics League Leaderboard
1970,Statistic,Team,#
1970,Base on Balls,Baltimore,717
1970,Batting Average,Minnesota,.262
1970,Doubles,Boston,252
1970,Hits,Boston,1450
1970,Home Runs,Boston,203
1970,On Base Percentage,Baltimore,.346
1970,Runs,Baltimore,792
1970,Slugging Average,Boston,.428
1970,Stolen Bases,Oakland,131
1970,Triples,Kansas City,41
1970,Triples,New York,41
1970,Triples,Oakland,41
1970,1970 American League Team Review Pitching Statistics League Leaderboard,1970 American League Team Review Pitching Statistics League Leaderboard,1970 American League Team Review Pitching Statistics League Leaderboard
1970,Statistic,Team,#
1970,Complete Games,Baltimore,60
1970,ERA,Baltimore,3.15
1970,Fewest Hits Allowed,Oakland,1253
1970,Fewest Home Runs Allowed,Minnesota,130
1970,Fewest Home Runs Allowed,New York,130
1970,Fewest Walks Allowed,New York,451
1970,Saves,Minnesota,58
1970,Shutouts,Oakland,15
1970,Strikeouts,Cleveland,1076
1971,1971 American League Team Review Hitting Statistics League Leaderboard,1971 American League Team Review Hitting Statistics League Leaderboard,1971 American League Team Review Hitting Statistics League Leaderboard
1971,Statistic,Team,#
1971,Base on Balls,Baltimore,672
1971,Batting Average,Baltimore,.261
1971,Doubles,Boston,246
1971,Hits,Minnesota,1406
1971,Home Runs,Detroit,179
1971,On Base Percentage,Baltimore,.349
1971,Runs,Baltimore,742
1971,Slugging Average,Detroit,.405
1971,Stolen Bases,Kansas City,130
1971,Triples,New York,43
1971,Statistic,Team,#
1971,1971 American League Team Review Pitching Statistics League Leaderboard,1971 American League Team Review Pitching Statistics League Leaderboard,1971 American League Team Review Pitching Statistics League Leaderboard
1971,Statistic,Team,#
1971,Complete Games,Baltimore,71
1971,ERA,Baltimore,2.99
1971,Fewest Hits Allowed,Oakland,1299
1971,Fewest Home Runs Allowed,Kansas City,84
1971,Fewest Walks Allowed,Baltimore,416
1971,Saves,Kansas City,44
1971,Shutouts,Milwaukee,23
1971,Strikeouts,Detroit,1000
1971,Statistic,Team,#
1972,1972 American League Team Review Hitting Statistics League Leaderboard,1972 American League Team Review Hitting Statistics League Leaderboard,1972 American League Team Review Hitting Statistics League Leaderboard
1972,Statistic,Team,#
1972,Base on Balls,Kansas City,534
1972,Batting Average,Kansas City,.255
1972,Doubles,Boston,229
1972,Hits,Kansas City,1317
1972,Home Runs,Oakland,134
1972,On Base Percentage,Kansas City,.329
1972,Runs,Boston,640
1972,Slugging Average,Boston,.376
1972,Stolen Bases,Texas,126
1972,Triples,Boston,34
1972,1972 American League Team Review Pitching Statistics League Leaderboard,1972 American League Team Review Pitching Statistics League Leaderboard,1972 American League Team Review Pitching Statistics League Leaderboard
1972,Statistic,Team,#
1972,Complete Games,Baltimore,62
1972,ERA,Baltimore,2.53
1972,Fewest Hits Allowed,California,1109
1972,Fewest Home Runs Allowed,Baltimore,85
1972,Fewest Home Runs Allowed,Kansas City,85
1972,Fewest Walks Allowed,Baltimore,395
1972,Saves,Oakland,43
1972,Shutouts,Oakland,23
1972,Strikeouts,California,1000
1973,1973 American League Team Review Hitting Statistics League Leaderboard,1973 American League Team Review Hitting Statistics League Leaderboard,1973 American League Team Review Hitting Statistics League Leaderboard
1973,Statistic,Team,#
1973,Base on Balls,Baltimore,648
1973,Batting Average,Minnesota,.270
1973,Doubles,Minnesota,240
1973,Hits,Minnesota,1521
1973,Home Runs,Cleveland,158
1973,On Base Percentage,Baltimore,.348
1973,Runs,Oakland,758
1973,Slugging Average,Boston,.401
1973,Stolen Bases,Baltimore,146
1973,Triples,Baltimore,48
1973,1973 American League Team Review Pitching Statistics League Leaderboard,1973 American League Team Review Pitching Statistics League Leaderboard,1973 American League Team Review Pitching Statistics League Leaderboard
1973,Statistic,Team,#
1973,Complete Games,California,72
1973,ERA,Baltimore,3.07
1973,Fewest Hits Allowed,Baltimore,1297
1973,Fewest Home Runs Allowed,California,104
1973,Fewest Walks Allowed,New York,457
1973,Saves,Detroit,46
1973,Shutouts,Minnesota,18
1973,Strikeouts,California,1010
1974,1974 American League Team Review Hitting Statistics League Leaderboard,1974 American League Team Review Hitting Statistics League Leaderboard,1974 American League Team Review Hitting Statistics League Leaderboard
1974,Statistic,Team,#
1974,Base on Balls,Boston,569
1974,Batting Average,Texas,.272
1974,Doubles,Boston,236
1974,Hits,Minnesota,1530
1974,Home Runs,Chicago,135
1974,On Base Percentage,Texas,.338
1974,Runs,Boston,696
1974,Slugging Average,Chicago,.389
1974,Stolen Bases,Oakland,164
1974,Triples,Milwaukee,49
1974,1974 American League Team Review Pitching Statistics League Leaderboard,1974 American League Team Review Pitching Statistics League Leaderboard,1974 American League Team Review Pitching Statistics League Leaderboard
1974,Statistic,Team,#
1974,Complete Games,Boston,71
1974,ERA,Oakland,2.96
1974,Fewest Hits Allowed,Oakland,1322
1974,Fewest Home Runs Allowed,Oakland,90
1974,Fewest Walks Allowed,Oakland,430
1974,Saves,Chicago,29
1974,Saves,Minnesota,29
1974,Shutouts,Baltimore,16
1974,Shutouts,Texas,16
1974,Strikeouts,California,986
1975,1975 American League Team Review Hitting Statistics League Leaderboard,1975 American League Team Review Hitting Statistics League Leaderboard,1975 American League Team Review Hitting Statistics League Leaderboard
1975,Statistic,Team,#
1975,Base on Balls,Texas,613
1975,Batting Average,Boston,.275
1975,Doubles,Boston,284
1975,Hits,Boston,1500
1975,Home Runs,Cleveland,153
1975,On Base Percentage,Boston,.347
1975,Runs,Boston,796
1975,Slugging Average,Boston,.417
1975,Stolen Bases,California,220
1975,Triples,Kansas City,58
1975,1975 American League Team Review Pitching Statistics League Leaderboard,1975 American League Team Review Pitching Statistics League Leaderboard,1975 American League Team Review Pitching Statistics League Leaderboard
1975,Statistic,Team,#
1975,Complete Games,Baltimore,70
1975,Complete Games,New York,70
1975,ERA,Baltimore,3.17
1975,Fewest Hits Allowed,Oakland,1267
1975,Fewest Home Runs Allowed,Oakland,102
1975,Fewest Walks Allowed,Boston,490
1975,Saves,Oakland,44
1975,Shutouts,Baltimore,19
1975,Shutouts,California,19
1975,Strikeouts,California,975
1976,1976 American League Team Review Hitting Statistics League Leaderboard,1976 American League Team Review Hitting Statistics League Leaderboard,1976 American League Team Review Hitting Statistics League Leaderboard
1976,Statistic,Team,#
1976,Base on Balls,Oakland,592
1976,Batting Average,Minnesota,.274
1976,Doubles,Kansas City,259
1976,Hits,Minnesota,1526
1976,Home Runs,Boston,134
1976,On Base Percentage,Minnesota,.343
1976,Runs,Minnesota,743
1976,Slugging Average,Boston,.402
1976,Stolen Bases,Oakland,341
1976,Triples,Kansas City,57
1976,1976 American League Team Review Pitching Statistics League Leaderboard,1976 American League Team Review Pitching Statistics League Leaderboard,1976 American League Team Review Pitching Statistics League Leaderboard
1976,Statistic,Team,#
1976,Complete Games,California,64
1976,ERA,New York,3.20
1976,Fewest Hits Allowed,New York,1300
1976,Fewest Home Runs Allowed,Baltimore,90
1976,Fewest Home Runs Allowed,Cleveland,90
1976,Fewest Walks Allowed,Boston,409
1976,Saves,Cleveland,46
1976,Shutouts,Cleveland,17
1976,Strikeouts,California,992
1977,1977 American League Team Review Hitting Statistics League Leaderboard,1977 American League Team Review Hitting Statistics League Leaderboard,1977 American League Team Review Hitting Statistics League Leaderboard
1977,Statistic,Team,#
1977,Base on Balls,Texas,596
1977,Batting Average,Minnesota,.282
1977,Doubles,Kansas City,299
1977,Hits,Minnesota,1588
1977,Home Runs,Boston,213
1977,On Base Percentage,Minnesota,.351
1977,Runs,Minnesota,867
1977,Slugging Average,Boston,.465
1977,Stolen Bases,Oakland,176
1977,Triples,Kansas City,77
1977,1977 American League Team Review Pitching Statistics League Leaderboard,1977 American League Team Review Pitching Statistics League Leaderboard,1977 American League Team Review Pitching Statistics League Leaderboard
1977,Statistic,Team,#
1977,Complete Games,Baltimore,65
1977,ERA,Kansas City,3.52
1977,Fewest Hits Allowed,Kansas City,1377
1977,Fewest Home Runs Allowed,Kansas City,110
1977,Fewest Walks Allowed,Boston,378
1977,Saves,Kansas City,42
1977,Shutouts,Texas,17
1977,Strikeouts,California,965
1978,1978 American League Team Review Hitting Statistics League Leaderboard,1978 American League Team Review Hitting Statistics League Leaderboard,1978 American League Team Review Hitting Statistics League Leaderboard
1978,Statistic,Team,#
1978,Base on Balls,Texas,624
1978,Batting Average,Milwaukee,.276
1978,Doubles,Kansas City,305
1978,Hits,Milwaukee,1530
1978,Home Runs,Milwaukee,173
1978,On Base Percentage,Milwaukee,.342
1978,Runs,Milwaukee,804
1978,Slugging Average,Milwaukee,.432
1978,Stolen Bases,Kansas City,216
1978,Triples,Kansas City,59
1978,1978 American League Team Review Pitching Statistics League Leaderboard,1978 American League Team Review Pitching Statistics League Leaderboard,1978 American League Team Review Pitching Statistics League Leaderboard
1978,Statistic,Team,#
1978,Complete Games,Baltimore,65
1978,ERA,New York,3.18
1978,Fewest Hits Allowed,New York,1321
1978,Fewest Home Runs Allowed,Cleveland,100
1978,Fewest Walks Allowed,Milwaukee,398
1978,Saves,New York,36
1978,Shutouts,Milwaukee,19
1978,Strikeouts,California,892
1979,1979 American League Team Review Hitting Statistics League Leaderboard,1979 American League Team Review Hitting Statistics League Leaderboard,1979 American League Team Review Hitting Statistics League Leaderboard
1979,Statistic,Team,#
1979,Base on Balls,Cleveland,657
1979,Batting Average,Boston,.283
1979,Doubles,Boston,310
1979,Hits,Kansas City,1596
1979,Home Runs,Boston,194
1979,On Base Percentage,California,.354
1979,Runs,California,866
1979,Slugging Average,Boston,.456
1979,Stolen Bases,Kansas City,207
1979,Triples,Kansas City,79
1979,1979 American League Team Review Pitching Statistics League Leaderboard,1979 American League Team Review Pitching Statistics League Leaderboard,1979 American League Team Review Pitching Statistics League Leaderboard
1979,Statistic,Team,#
1979,Complete Games,Milwaukee,61
1979,ERA,Baltimore,3.26
1979,Fewest Hits Allowed,Baltimore,1279
1979,Fewest Home Runs Allowed,Chicago,114
1979,Fewest Walks Allowed,Milwaukee,381
1979,Saves,Texas,42
1979,Shutouts,Baltimore,12
1979,Shutouts,Milwaukee,12
1979,Strikeouts,California,820
1980,1980 American League Team Review Hitting Statistics League Leaderboard,1980 American League Team Review Hitting Statistics League Leaderboard,1980 American League Team Review Hitting Statistics League Leaderboard
1980,Statistic,Team,#
1980,Base on Balls,Detroit,645
1980,Batting Average,Kansas City,.286
1980,Doubles,Milwaukee,298
1980,Hits,Kansas City,1633
1980,Home Runs,Milwaukee,203
1980,On Base Percentage,Cleveland,.355
1980,Runs,Detroit,830
1980,Slugging Average,Milwaukee,.448
1980,Stolen Bases,Kansas City,185
1980,Triples,Kansas City,59
1980,1980 American League Team Review Pitching Statistics League Leaderboard,1980 American League Team Review Pitching Statistics League Leaderboard,1980 American League Team Review Pitching Statistics League Leaderboard
1980,Statistic,Team,#
1980,Complete Games,Oakland,94
1980,ERA,Oakland,3.46
1980,Fewest Hits Allowed,Oakland,1347
1980,Fewest Home Runs Allowed,New York,102
1980,Fewest Walks Allowed,Milwaukee,420
1980,Saves,New York,50
1980,Shutouts,New York,15
1980,Strikeouts,Texas,890
1981,1981 American League Team Review Hitting Statistics League Leaderboard,1981 American League Team Review Hitting Statistics League Leaderboard,1981 American League Team Review Hitting Statistics League Leaderboard
1981,Statistic,Team,#
1981,Base on Balls,Baltimore,404
1981,Base on Balls,Detroit,404
1981,Batting Average,Boston,.275
1981,Doubles,Texas,178
1981,Hits,Boston,1052
1981,Home Runs,Oakland,104
1981,On Base Percentage,Boston,.343
1981,Runs,Boston,519
1981,Slugging Average,Boston,.399
1981,Stolen Bases,Cleveland,119
1981,Triples,Minnesota,36
1981,1981 American League Team Review Pitching Statistics League Leaderboard,1981 American League Team Review Pitching Statistics League Leaderboard,1981 American League Team Review Pitching Statistics League Leaderboard
1981,Statistic,Team,#
1981,Complete Games,Oakland,60
1981,ERA,New York,2.90
1981,Fewest Hits Allowed,New York,827
1981,Fewest Home Runs Allowed,New York,64
1981,Fewest Walks Allowed,Kansas City,273
1981,Saves,Milwaukee,35
1981,Shutouts,Detroit,13
1981,Shutouts,New York,13
1981,Shutouts,Texas,13
1981,Strikeouts,New York,606
1982,1982 American League Team Review Hitting Statistics League Leaderboard,1982 American League Team Review Hitting Statistics League Leaderboard,1982 American League Team Review Hitting Statistics League Leaderboard
1982,Statistic,Team,#
1982,Base on Balls,Cleveland,651
1982,Batting Average,Kansas City,.285
1982,Doubles,Kansas City,295
1982,Hits,Kansas City,1603
1982,Home Runs,Milwaukee,216
1982,On Base Percentage,California,.350
1982,Runs,Milwaukee,891
1982,Slugging Average,Milwaukee,.455
1982,Stolen Bases,Oakland,232
1982,Triples,Kansas City,58
1982,1982 American League Team Review Pitching Statistics League Leaderboard,1982 American League Team Review Pitching Statistics League Leaderboard,1982 American League Team Review Pitching Statistics League Leaderboard
1982,Statistic,Team,#
1982,Complete Games,Detroit,45
1982,ERA,Detroit,3.80
1982,Fewest Hits Allowed,Detroit,1371
1982,Fewest Home Runs Allowed,Chicago,99
1982,Fewest Walks Allowed,Chicago,460
1982,Saves,Milwaukee,47
1982,Shutouts,Toronto,13
1982,Strikeouts,Seattle,1002
1983,1983 American League Team Review Hitting Statistics League Leaderboard,1983 American League Team Review Hitting Statistics League Leaderboard,1983 American League Team Review Hitting Statistics League Leaderboard
1983,Statistic,Team,#
1983,Base on Balls,Cleveland,605
1983,Batting Average,Toronto,.277
1983,Doubles,Boston,287
1983,Hits,Milwaukee,1556
1983,Home Runs,Baltimore,168
1983,On Base Percentage,Baltimore,.343
1983,Runs,Chicago,800
1983,Slugging Average,Toronto,.436
1983,Stolen Bases,Oakland,235
1983,Triples,Toronto,58
1983,1983 American League Team Review Pitching Statistics League Leaderboard,1983 American League Team Review Pitching Statistics League Leaderboard,1983 American League Team Review Pitching Statistics League Leaderboard
1983,Statistic,Team,#
1983,Complete Games,New York,47
1983,ERA,Texas,3.31
1983,Fewest Hits Allowed,Detroit,1318
1983,Fewest Home Runs Allowed,Texas,97
1983,Fewest Walks Allowed,Chicago,447
1983,Saves,Kansas City,49
1983,Shutouts,Baltimore,15
1983,Strikeouts,Seattle,910
1984,1984 American League Team Review Hitting Statistics League Leaderboard,1984 American League Team Review Hitting Statistics League Leaderboard,1984 American League Team Review Hitting Statistics League Leaderboard
1984,Statistic,Team,#
1984,Base on Balls,Baltimore,620
1984,Batting Average,Boston,.283
1984,Doubles,Toronto,275
1984,Doubles,New York,275
1984,Hits,Boston,1598
1984,Home Runs,Detroit,187
1984,On Base Percentage,Detroit,.345
1984,Runs,Detroit,829
1984,Slugging Average,Boston,.441
1984,Stolen Bases,Toronto,193
1984,Triples,Toronto,68
1984,1984 American League Team Review Pitching Statistics League Leaderboard,1984 American League Team Review Pitching Statistics League Leaderboard,1984 American League Team Review Pitching Statistics League Leaderboard
1984,Statistic,Team,#
1984,Complete Games,Baltimore,48
1984,ERA,Detroit,3.49
1984,Fewest Hits Allowed,Detroit,1358
1984,Fewest Home Runs Allowed,New York,120
1984,Fewest Walks Allowed,Kansas City,433
1984,Saves,Detroit,51
1984,Shutouts,Baltimore,13
1984,Strikeouts,New York,992
