1901,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →
1940,1940 American League Player Review Hitting Statistics League Leaderboard,1940 American League Player Review Hitting Statistics League Leaderboard,1940 American League Player Review Hitting Statistics League Leaderboard,1940 American League Player Review Hitting Statistics League Leaderboard,1940 American League Player Review Hitting Statistics League Leaderboard
1940,Statistic,Name(s),Team(s),#,Top 25
1940,Base on Balls,Charlie Keller,New York,106,Top 25
1940,Batting Average,Joe DiMaggio,New York,.352,Top 25
1940,Doubles,Hank Greenberg,Detroit,50,Top 25
1940,Hits,Doc Cramer,Boston,200,Top 25
1940,Hits,Barney McCosky,Detroit,200,Top 25
1940,Hits,Rip Radcliff,St. Louis,200,Top 25
1940,Home Runs,Hank Greenberg,Detroit,41,Top 25
1940,On Base Percentage,Ted Williams,Boston,.442,Top 25
1940,RBI,Hank Greenberg,Detroit,150,Top 25
1940,Runs,Ted Williams,Boston,134,Top 25
1940,Slugging Average,Hank Greenberg,Detroit,.670,Top 25
1940,Stolen Bases,George Case,Washington,35,Top 25
1940,Total Bases,Hank Greenberg,Detroit,384,Top 25
1940,Triples,Barney McCosky,Detroit,19,Top 25
1940,Statistic,Name(s),Team(s),#,Top 25
1941,1941 American League Player Review ← 1940 | 1941 Hitting Statistics League Leaders | 1942 →,1941 American League Player Review ← 1940 | 1941 Hitting Statistics League Leaders | 1942 →,1941 American League Player Review ← 1940 | 1941 Hitting Statistics League Leaders | 1942 →,1941 American League Player Review ← 1940 | 1941 Hitting Statistics League Leaders | 1942 →,1941 American League Player Review ← 1940 | 1941 Hitting Statistics League Leaders | 1942 →
1941,Statistic,Name(s),Team(s),#,Top 25
1941,Base on Balls,Ted Williams,Boston,147,Top 25
1941,Batting Average,Ted Williams,Boston,.406,Top 25
1941,Doubles,Lou Boudreau,Cleveland,45,Top 25
1941,Hits,Cecil Travis,Washington,218,Top 25
1941,Home Runs,Ted Williams,Boston,37,Top 25
1941,On Base Percentage,Ted Williams,Boston,.551,Top 25
1941,RBI,Joe DiMaggio,New York,125,Top 25
1941,Runs,Ted Williams,Boston,135,Top 25
1941,Slugging Average,Ted Williams,Boston,.735,Top 25
1941,Stolen Bases,George Case,Washington,33,Top 25
1941,Total Bases,Joe DiMaggio,New York,348,Top 25
1941,Triples,Jeff Heath,Cleveland,20,Top 25
1941,Statistic,Name(s),Team(s),#,Top 25
1941,1941 A.L. History | 1941 N.L. History | Year-by-Year History,1941 A.L. History | 1941 N.L. History | Year-by-Year History,1941 A.L. History | 1941 N.L. History | Year-by-Year History,1941 A.L. History | 1941 N.L. History | Year-by-Year History,1941 A.L. History | 1941 N.L. History | Year-by-Year History
1951,1951 American League Player Review ← 1950 | 1951 American League Hitting Statistics Leaders | 1952 →,1951 American League Player Review ← 1950 | 1951 American League Hitting Statistics Leaders | 1952 →,1951 American League Player Review ← 1950 | 1951 American League Hitting Statistics Leaders | 1952 →,1951 American League Player Review ← 1950 | 1951 American League Hitting Statistics Leaders | 1952 →,1951 American League Player Review ← 1950 | 1951 American League Hitting Statistics Leaders | 1952 →
1951,Statistic,Name(s),Team(s),#,Top 25
1951,Base on Balls,Ted Williams,Boston,144,Top 25
1951,Batting Average,Ferris Fain,Philadelphia,.344,Top 25
1951,Doubles,George Kell,Detroit,36,Top 25
1951,Doubles,Sam Mele,Washington,36,Top 25
1951,Doubles,Eddie Yost,Washington,36,Top 25
1951,Hits,George Kell,Detroit,191,Top 25
1951,Home Runs,Gus Zernial,Chicago,33,Top 25
1951,Home Runs,Gus Zernial,Philadelphia,33,Top 25
1951,On Base Percentage,Ted Williams,Boston,.464,Top 25
1951,RBI,Gus Zernial,Chicago,129,Top 25
1951,RBI,Gus Zernial,Philadelphia,129,Top 25
1951,Runs,Dom DiMaggio,Boston,113,Top 25
1951,Slugging Average,Ted Williams,Boston,.556,Top 25
1951,Stolen Bases,Minnie Minoso,Cleveland,31,Top 25
1951,Stolen Bases,Minnie Minoso,Chicago,31,Top 25
1951,Total Bases,Ted Williams,Boston,295,Top 25
1951,Triples,Minnie Minoso,Cleveland,14,Top 25
1951,Triples,Minnie Minoso,Chicago,14,Top 25
1951,Statistic,Name(s),Team(s),#,Top 25
1951,1951 A.L. History | 1951 N.L. History | Year-by-Year History,1951 A.L. History | 1951 N.L. History | Year-by-Year History,1951 A.L. History | 1951 N.L. History | Year-by-Year History,1951 A.L. History | 1951 N.L. History | Year-by-Year History,1951 A.L. History | 1951 N.L. History | Year-by-Year History
1953,1953 American League Player Review ← 1952 | 1953 American League Hitting Statistics Leaders | 1954 →,1953 American League Player Review ← 1952 | 1953 American League Hitting Statistics Leaders | 1954 →,1953 American League Player Review ← 1952 | 1953 American League Hitting Statistics Leaders | 1954 →,1953 American League Player Review ← 1952 | 1953 American League Hitting Statistics Leaders | 1954 →,1953 American League Player Review ← 1952 | 1953 American League Hitting Statistics Leaders | 1954 →
1953,Statistic,Name(s),Team(s),#,Top 25
1953,Base on Balls,Eddie Yost,Washington,123,Top 25
1953,Batting Average,Mickey Vernon,Washington,.337,Top 25
1953,Doubles,Mickey Vernon,Washington,43,Top 25
1953,Hits,Harvey Kuenn,Detroit,209,Top 25
1953,Home Runs,Al Rosen,Cleveland,43,Top 25
1953,On Base Percentage,Gene Woodling,New York,.429,Top 25
1953,RBI,Al Rosen,Cleveland,145,Top 25
1953,Runs,Al Rosen,Cleveland,115,Top 25
1953,Slugging Average,Al Rosen,Cleveland,.613,Top 25
1953,Stolen Bases,Minnie Minoso,Chicago,25,Top 25
1953,Total Bases,Al Rosen,Cleveland,367,Top 25
1953,Triples,Jim Rivera,Chicago,16,Top 25
1953,Statistic,Name(s),Team(s),#,Top 25
1953,1953 A.L. History | 1953 N.L. History | Year-by-Year History,1953 A.L. History | 1953 N.L. History | Year-by-Year History,1953 A.L. History | 1953 N.L. History | Year-by-Year History,1953 A.L. History | 1953 N.L. History | Year-by-Year History,1953 A.L. History | 1953 N.L. History | Year-by-Year History
1954,1954 American League Player Review ← 1953 | 1954 Hitting Statistics League Leaders | 1954 →,1954 American League Player Review ← 1953 | 1954 Hitting Statistics League Leaders | 1954 →,1954 American League Player Review ← 1953 | 1954 Hitting Statistics League Leaders | 1954 →,1954 American League Player Review ← 1953 | 1954 Hitting Statistics League Leaders | 1954 →,1954 American League Player Review ← 1953 | 1954 Hitting Statistics League Leaders | 1954 →
1954,Statistic,Name(s),Team(s),#,Top 25
1954,Base on Balls,Ted Williams,Boston,136,Top 25
1954,Batting Average,Bobby Avila,Cleveland,.341,Top 25
1954,Doubles,Mickey Vernon,Washington,33,Top 25
1954,Hits,Nellie Fox,Chicago,201,Top 25
1954,Hits,Harvey Kuenn,Detroit,201,Top 25
1954,Home Runs,Larry Doby,Cleveland,32,Top 25
1954,On Base Percentage,Ted Williams,Boston,.516,Top 25
1954,RBI,Larry Doby,Cleveland,126,Top 25
1954,Runs,Mickey Mantle,New York,129,Top 25
1954,Slugging Average,Minnie Minoso,Chicago,.535,Top 25
1954,Stolen Bases,Jackie Jensen,Boston,22,Top 25
1954,Total Bases,Minnie Minoso,Chicago,304,Top 25
1954,Triples,Minnie Minoso,Chicago,18,Top 25
1954,Statistic,Name(s),Team(s),#,Top 25
1954,1954 A.L. History | 1954 N.L. History | Year-by-Year History,1954 A.L. History | 1954 N.L. History | Year-by-Year History,1954 A.L. History | 1954 N.L. History | Year-by-Year History,1954 A.L. History | 1954 N.L. History | Year-by-Year History,1954 A.L. History | 1954 N.L. History | Year-by-Year History
1955,1955 American League Player Review ← 1954 | 1955 Hitting Statistics League Leaders | 1956 →,1955 American League Player Review ← 1954 | 1955 Hitting Statistics League Leaders | 1956 →,1955 American League Player Review ← 1954 | 1955 Hitting Statistics League Leaders | 1956 →,1955 American League Player Review ← 1954 | 1955 Hitting Statistics League Leaders | 1956 →,1955 American League Player Review ← 1954 | 1955 Hitting Statistics League Leaders | 1956 →
1955,Statistic,Name(s),Team(s),#,Top 25
1955,Base on Balls,Mickey Mantle,New York,113,Top 25
1955,Batting Average,Al Kaline,Detroit,.340,Top 25
1955,Doubles,Harvey Kuenn,Detroit,38,Top 25
1955,Hits,Al Kaline,Detroit,200,Top 25
1955,Home Runs,Mickey Mantle,New York,37,Top 25
1955,On Base Percentage,Mickey Mantle,New York,.433,Top 25
1955,RBI,Ray Boone,Detroit,116,Top 25
1955,RBI,Jackie Jensen,Boston,116,Top 25
1955,Runs,Al Smith,Cleveland,123,Top 25
1955,Slugging Average,Mickey Mantle,New York,.611,Top 25
1955,Stolen Bases,Jim Rivera,Chicago,25,Top 25
1955,Total Bases,Al Kaline,Detroit,321,Top 25
1955,Triples,Mickey Mantle,New York,11,Top 25
1955,Statistic,Name(s),Team(s),#,Top 25
1955,1955 A.L. History | 1955 N.L. History | Year-by-Year History,1955 A.L. History | 1955 N.L. History | Year-by-Year History,1955 A.L. History | 1955 N.L. History | Year-by-Year History,1955 A.L. History | 1955 N.L. History | Year-by-Year History,1955 A.L. History | 1955 N.L. History | Year-by-Year History
1956,1956 American League Player Review ← 1955 | 1956 Hitting Statistics League Leaders | 1957 →,1956 American League Player Review ← 1955 | 1956 Hitting Statistics League Leaders | 1957 →,1956 American League Player Review ← 1955 | 1956 Hitting Statistics League Leaders | 1957 →,1956 American League Player Review ← 1955 | 1956 Hitting Statistics League Leaders | 1957 →,1956 American League Player Review ← 1955 | 1956 Hitting Statistics League Leaders | 1957 →
1956,Statistic,Name(s),Team(s),#,Top 25
1956,Base on Balls,Eddie Yost,Washington,151,Top 25
1956,Batting Average,Mickey Mantle,New York,.353,Top 25
1956,Doubles,Jim Piersall,Boston,40,Top 25
1956,Hits,Harvey Kuenn,Detroit,196,Top 25
1956,Home Runs,Mickey Mantle,New York,52,Top 25
1956,On Base Percentage,Ted Williams,Boston,.479,Top 25
1956,RBI,Mickey Mantle,New York,130,Top 25
1956,Runs,Mickey Mantle,New York,132,Top 25
1956,Slugging Average,Mickey Mantle,New York,.705,Top 25
1956,Stolen Bases,Luis Aparacio,Chicago,21,Top 25
1956,Total Bases,Mickey Mantle,New York,376,Top 25
1956,Triples,Jackie Jensen,Boston,11,Top 25
1956,Triples,Jim Lemon,Washington,11,Top 25
1956,Triples,Minnie Minoso,Chicago,11,Top 25
1956,Triples,Harry Simpson,Kansas City,11,Top 25
1956,Statistic,Name(s),Team(s),#,Top 25
1956,1956 A.L. History | 1956 N.L. History | Year-by-Year History,1956 A.L. History | 1956 N.L. History | Year-by-Year History,1956 A.L. History | 1956 N.L. History | Year-by-Year History,1956 A.L. History | 1956 N.L. History | Year-by-Year History,1956 A.L. History | 1956 N.L. History | Year-by-Year History
1957,1957 American League Player Review ← 1956 | 1957 Hitting Statistics League Leaders | 1958 →,1957 American League Player Review ← 1956 | 1957 Hitting Statistics League Leaders | 1958 →,1957 American League Player Review ← 1956 | 1957 Hitting Statistics League Leaders | 1958 →,1957 American League Player Review ← 1956 | 1957 Hitting Statistics League Leaders | 1958 →,1957 American League Player Review ← 1956 | 1957 Hitting Statistics League Leaders | 1958 →
1957,Statistic,Name(s),Team(s),#,Top 25
1957,Base on Balls,Mickey Mantle,New York,146,Top 25
1957,Batting Average,Ted Williams,Boston,.388,Top 25
1957,Doubles,Billy Gardner,Baltimore,36,Top 25
1957,Doubles,Minnie Minoso,Chicago,36,Top 25
1957,Hits,Nellie Fox,Chicago,196,Top 25
1957,Home Runs,Roy Sievers,Washington,42,Top 25
1957,On Base Percentage,Ted Williams,Boston,.528,Top 25
1957,RBI,Roy Sievers,Washington,114,Top 25
1957,Runs,Mickey Mantle,New York,121,Top 25
1957,Slugging Average,Ted Williams,Boston,.731,Top 25
1957,Stolen Bases,Luis Aparicio,Chicago,28,Top 25
1957,Total Bases,Roy Sievers,Washington,331,Top 25
1957,Triples,Hank Bauer,New York,9,Top 25
1957,Triples,Gil McDougald,New York,9,Top 25
1957,Triples,Harry Simpson,Kansas City,9,Top 25
1957,Triples,Harry Simpson,New York,9,Top 25
1957,Statistic,Name(s),Team(s),#,Top 25
1957,1957 A.L. History | 1957 N.L. History | Year-by-Year History,1957 A.L. History | 1957 N.L. History | Year-by-Year History,1957 A.L. History | 1957 N.L. History | Year-by-Year History,1957 A.L. History | 1957 N.L. History | Year-by-Year History,1957 A.L. History | 1957 N.L. History | Year-by-Year History
1958,1958 American League Player Review ← 1957 | 1958 Hitting Statistics League Leaders | 1959 →,1958 American League Player Review ← 1957 | 1958 Hitting Statistics League Leaders | 1959 →,1958 American League Player Review ← 1957 | 1958 Hitting Statistics League Leaders | 1959 →,1958 American League Player Review ← 1957 | 1958 Hitting Statistics League Leaders | 1959 →,1958 American League Player Review ← 1957 | 1958 Hitting Statistics League Leaders | 1959 →
1958,Statistic,Name(s),Team(s),#,Top 25
1958,Base on Balls,Mickey Mantle,New York,129,Top 25
1958,Batting Average,Ted Williams,Boston,.328,Top 25
1958,Doubles,Harvey Kuenn,Detroit,39,Top 25
1958,Hits,Nellie Fox,Chicago,187,Top 25
1958,Home Runs,Mickey Mantle,New York,42,Top 25
1958,On Base Percentage,Ted Williams,Boston,.462,Top 25
1958,RBI,Jackie Jensen,Boston,122,Top 25
1958,Runs,Mickey Mantle,New York,127,Top 25
1958,Slugging Average,Rocky Colavito,Cleveland,.620,Top 25
1958,Stolen Bases,Luis Aparacio,Chicago,29,Top 25
1958,Total Bases,Mickey Mantle,New York,307,Top 25
1958,Triples,Vic Power,Kansas City,10,Top 25
1958,Triples,Vic Power,Cleveland,10,Top 25
1958,Statistic,Name(s),Team(s),#,Top 25
1958,1958 A.L. History | 1958 N.L. History | Year-by-Year History,1958 A.L. History | 1958 N.L. History | Year-by-Year History,1958 A.L. History | 1958 N.L. History | Year-by-Year History,1958 A.L. History | 1958 N.L. History | Year-by-Year History,1958 A.L. History | 1958 N.L. History | Year-by-Year History
1959,1959 American League Player Review ← 1958 | 1959 Hitting Statistics League Leaders | 1960 →,1959 American League Player Review ← 1958 | 1959 Hitting Statistics League Leaders | 1960 →,1959 American League Player Review ← 1958 | 1959 Hitting Statistics League Leaders | 1960 →,1959 American League Player Review ← 1958 | 1959 Hitting Statistics League Leaders | 1960 →,1959 American League Player Review ← 1958 | 1959 Hitting Statistics League Leaders | 1960 →
1959,Statistic,Name(s),Team(s),#,Top 25
1959,Base on Balls,Eddie Yost,Detroit,135,Top 25
1959,Batting Average,Harvey Kuenn,Detroit,.353,Top 25
1959,Doubles,Harvey Kuenn,Detroit,42,Top 25
1959,Hits,Harvey Kuenn,Detroit,198,Top 25
1959,Home Runs,Rocky Colavito,Cleveland,42,Top 25
1959,Home Runs,Harmon Killebrew,Washington,42,Top 25
1959,On Base Percentage,Eddie Yost,Detroit,.437,Top 25
1959,RBI,Jackie Jensen,Boston,112,Top 25
1959,Runs,Eddie Yost,Detroit,115,Top 25
1959,Slugging Average,Al Kaline,Detroit,.530,Top 25
1959,Stolen Bases,Luis Aparacio,Chicago,56,Top 25
1959,Total Bases,Rocky Colavito,Cleveland,301,Top 25
1959,Triples,Bob Allison,Washington,9,Top 25
1959,Statistic,Name(s),Team(s),#,Top 25
1959,1959 A.L. History | 1959 N.L. History | Year-by-Year History,1959 A.L. History | 1959 N.L. History | Year-by-Year History,1959 A.L. History | 1959 N.L. History | Year-by-Year History,1959 A.L. History | 1959 N.L. History | Year-by-Year History,1959 A.L. History | 1959 N.L. History | Year-by-Year History
1960,1960 American League Player Review ← 1959 | 1960 Hitting Statistics League Leaders | 1961 →,1960 American League Player Review ← 1959 | 1960 Hitting Statistics League Leaders | 1961 →,1960 American League Player Review ← 1959 | 1960 Hitting Statistics League Leaders | 1961 →,1960 American League Player Review ← 1959 | 1960 Hitting Statistics League Leaders | 1961 →,1960 American League Player Review ← 1959 | 1960 Hitting Statistics League Leaders | 1961 →
1960,Statistic,Name(s),Team(s),#,Top 25
1960,Base on Balls,Eddie Yost,Detroit,125,Top 25
1960,Batting Average,Pete Runnels,Boston,.320,Top 25
1960,Doubles,Tito Francona,Cleveland,36,Top 25
1960,Hits,Minnie Minoso,Chicago,184,Top 25
1960,Home Runs,Mickey Mantle,New York,40,Top 25
1960,On Base Percentage,Eddie Yost,Detroit,.416,Top 25
1960,RBI,Roger Maris,New York,112,Top 25
1960,Runs,Mickey Mantle,New York,119,Top 25
1960,Slugging Average,Roger Maris,New York,.581,Top 25
1960,Stolen Bases,Luis Aparacio,Chicago,51,Top 25
1960,Total Bases,Mickey Mantle,New York,294,Top 25
1960,Triples,Nellie Fox,Chicago,10,Top 25
1960,Statistic,Name(s),Team(s),#,Top 25
1960,1960 A.L. History | 1960 N.L. History | Year-by-Year History,1960 A.L. History | 1960 N.L. History | Year-by-Year History,1960 A.L. History | 1960 N.L. History | Year-by-Year History,1960 A.L. History | 1960 N.L. History | Year-by-Year History,1960 A.L. History | 1960 N.L. History | Year-by-Year History
1961,1961 American League Player Review ← 1960 | 1961 Hitting Statistics League Leaders | 1962 →,1961 American League Player Review ← 1960 | 1961 Hitting Statistics League Leaders | 1962 →,1961 American League Player Review ← 1960 | 1961 Hitting Statistics League Leaders | 1962 →,1961 American League Player Review ← 1960 | 1961 Hitting Statistics League Leaders | 1962 →,1961 American League Player Review ← 1960 | 1961 Hitting Statistics League Leaders | 1962 →
1961,Statistic,Name(s),Team(s),#,Top 25
1961,Base on Balls,Mickey Mantle,New York,126,Top 25
1961,Batting Average,Norm Cash,Detroit,.361,Top 25
1961,Doubles,Al Kaline,Detroit,41,Top 25
1961,Hits,Norm Cash,Detroit,193,Top 25
1961,Home Runs,Roger Maris,New York,61,Top 25
1961,On Base Percentage,Norm Cash,Detroit,.488,Top 25
1961,RBI,Jim Gentile,Baltimore,141,Top 25
1961,RBI,Roger Maris,New York,141,Top 25
1961,Runs,Roger Maris,New York,132,Top 25
1961,Slugging Average,Mickey Mantle,New York,.687,Top 25
1961,Stolen Bases,Luis Aparacio,Chicago,53,Top 25
1961,Total Bases,Roger Maris,New York,366,Top 25
1961,Triples,Jake Wood,Detroit,14,Top 25
1961,Statistic,Name(s),Team(s),#,Top 25
1961,1961 A.L. History | 1961 N.L. History | Year-by-Year History,1961 A.L. History | 1961 N.L. History | Year-by-Year History,1961 A.L. History | 1961 N.L. History | Year-by-Year History,1961 A.L. History | 1961 N.L. History | Year-by-Year History,1961 A.L. History | 1961 N.L. History | Year-by-Year History
1962,1962 American League Player Review ← 1961 | 1962 Hitting Statistics League Leaders | 1963 →,1962 American League Player Review ← 1961 | 1962 Hitting Statistics League Leaders | 1963 →,1962 American League Player Review ← 1961 | 1962 Hitting Statistics League Leaders | 1963 →,1962 American League Player Review ← 1961 | 1962 Hitting Statistics League Leaders | 1963 →,1962 American League Player Review ← 1961 | 1962 Hitting Statistics League Leaders | 1963 →
1962,Statistic,Name(s),Team(s),#,Top 25
1962,Base on Balls,Mickey Mantle,New York,122,Top 25
1962,Batting Average,Pete Runnels,Boston,.326,Top 25
1962,Doubles,Floyd Robinson,Chicago,45,Top 25
1962,Hits,Bobby Richardson,New York,209,Top 25
1962,Home Runs,Harmon Killebrew,Minnesota,48,Top 25
1962,On Base Percentage,Mickey Mantle,New York,.488,Top 25
1962,RBI,Harmon Killebrew,MInnesota,126,Top 25
1962,Runs,Albie Pearson,Los Angeles,115,Top 25
1962,Slugging Average,Mickey Mantle,New York,.605,Top 25
1962,Stolen Bases,Luis Aparicio,Chicago,31,Top 25
1962,Total Bases,Rocky Colavito,Detroit,309,Top 25
1962,Triples,Gino Cimoli,Kansas City,15,Top 25
1962,Statistic,Name(s),Team(s),#,Top 25
1962,1962 A.L. History | 1962 N.L. History | Year-by-Year History,1962 A.L. History | 1962 N.L. History | Year-by-Year History,1962 A.L. History | 1962 N.L. History | Year-by-Year History,1962 A.L. History | 1962 N.L. History | Year-by-Year History,1962 A.L. History | 1962 N.L. History | Year-by-Year History
1963,1963 American League Player Review ← 1962 | 1963 Hitting Statistics League Leaders | 1964 →,1963 American League Player Review ← 1962 | 1963 Hitting Statistics League Leaders | 1964 →,1963 American League Player Review ← 1962 | 1963 Hitting Statistics League Leaders | 1964 →,1963 American League Player Review ← 1962 | 1963 Hitting Statistics League Leaders | 1964 →,1963 American League Player Review ← 1962 | 1963 Hitting Statistics League Leaders | 1964 →
1963,Statistic,Name(s),Team(s),#,Top 25
1963,Base on Balls,Carl Yastrzemski,Boston,95,Top 25
1963,Batting Average,Carl Yastrzemski,Boston,.321,Top 25
1963,Doubles,Carl Yastrzemski,Boston,40,Top 25
1963,Hits,Carl Yastrzemski,Boston,183,Top 25
1963,Home Runs,Harmon Killebrew,Minnesota,45,Top 25
1963,On Base Percentage,Carl Yastrzemski,Boston,.419,Top 25
1963,RBI,Dick Stuart,Boston,118,Top 25
1963,Runs,Bob Allison,Minnesota,99,Top 25
1963,Slugging Average,Harmon Killebrew,Minnesota,.555,Top 25
1963,Stolen Bases,Luis Aparicio,Baltimore,40,Top 25
1963,Total Bases,Dick Stuart,Boston,319,Top 25
1963,Triples,Zoilo Versalles,Minnesota,13,Top 25
1963,Statistic,Name(s),Team(s),#,Top 25
1963,1963 A.L. History | 1963 N.L. History | Year-by-Year History,1963 A.L. History | 1963 N.L. History | Year-by-Year History,1963 A.L. History | 1963 N.L. History | Year-by-Year History,1963 A.L. History | 1963 N.L. History | Year-by-Year History,1963 A.L. History | 1963 N.L. History | Year-by-Year History
1964,1964 American League Player Review ← 1963 | 1964 Hitting Statistics League Leaders | 1965 →,1964 American League Player Review ← 1963 | 1964 Hitting Statistics League Leaders | 1965 →,1964 American League Player Review ← 1963 | 1964 Hitting Statistics League Leaders | 1965 →,1964 American League Player Review ← 1963 | 1964 Hitting Statistics League Leaders | 1965 →,1964 American League Player Review ← 1963 | 1964 Hitting Statistics League Leaders | 1965 →
1964,Statistic,Name(s),Team(s),#,Top 25
1964,Base on Balls,Norm Siebern,Baltimore,106,Top 25
1964,Batting Average,Tony Oliva,Minnesota,.323,Top 25
1964,Doubles,Tony Oliva,Minnesota,43,Top 25
1964,Hits,Tony Oliva,Minnesota,217,Top 25
1964,Home Runs,Harmon Killebrew,Minnesota,49,Top 25
1964,On Base Percentage,Mickey Mantle,New York,.426,Top 25
1964,RBI,Brooks Robinson,Baltimore,118,Top 25
1964,Runs,Tony Oliva,Minnesota,109,Top 25
1964,Slugging Average,Boog Powell,Baltimore,.606,Top 25
1964,Stolen Bases,Luis Aparicio,Baltimore,57,Top 25
1964,Total Bases,Tony Oliva,Minnesota,374,Top 25
1964,Triples,Rich Rollins,Minnesota,10,Top 25
1964,Triples,Zoilo Versalles,Minnesota,10,Top 25
1964,Statistic,Name(s),Team(s),#,Top 25
1964,1964 A.L. History | 1964 N.L. History | Year-by-Year History,1964 A.L. History | 1964 N.L. History | Year-by-Year History,1964 A.L. History | 1964 N.L. History | Year-by-Year History,1964 A.L. History | 1964 N.L. History | Year-by-Year History,1964 A.L. History | 1964 N.L. History | Year-by-Year History
1965,1965 American League Player Review ← 1964 | 1965 Hitting Statistics League Leaders | 1966 →,1965 American League Player Review ← 1964 | 1965 Hitting Statistics League Leaders | 1966 →,1965 American League Player Review ← 1964 | 1965 Hitting Statistics League Leaders | 1966 →,1965 American League Player Review ← 1964 | 1965 Hitting Statistics League Leaders | 1966 →,1965 American League Player Review ← 1964 | 1965 Hitting Statistics League Leaders | 1966 →
1965,Statistic,Name(s),Team(s),#,Top 25
1965,Base on Balls,Rocky Colavito,Cleveland,93,Top 25
1965,Batting Average,Tony Oliva,Minnesota,.321,Top 25
1965,Doubles,Zoilo Versalles,Minnesota,45,Top 25
1965,Doubles,Carl Yastrzemski,Boston,45,Top 25
1965,Hits,Tony Oliva,Minnesota,185,Top 25
1965,Home Runs,Tony Conigliaro,Boston,32,Top 25
1965,On Base Percentage,Carl Yastrzemski,Boston,.398,Top 25
1965,RBI,Rocky Colavito,Cleveland,108,Top 25
1965,Runs,Zoilo Versalles,Minnesota,126,Top 25
1965,Slugging Average,Carl Yastrzemski,Boston,.536,Top 25
1965,Stolen Bases,Bert Campaneris,Kansas City,51,Top 25
1965,Total Bases,Zoilo Versalles,Minnesota,308,Top 25
1965,Triples,Bert Campaneris,Kansas City,12,Top 25
1965,Triples,Zoilo Versalles,Minnesota,12,Top 25
1965,Statistic,Name(s),Team(s),#,Top 25
1965,1965 A.L. History | 1965 N.L. History | Year-by-Year History,1965 A.L. History | 1965 N.L. History | Year-by-Year History,1965 A.L. History | 1965 N.L. History | Year-by-Year History,1965 A.L. History | 1965 N.L. History | Year-by-Year History,1965 A.L. History | 1965 N.L. History | Year-by-Year History
1966,1966 American League Player Review ← 1965 | 1966 Hitting Statistics League Leaders | 1967 →,1966 American League Player Review ← 1965 | 1966 Hitting Statistics League Leaders | 1967 →,1966 American League Player Review ← 1965 | 1966 Hitting Statistics League Leaders | 1967 →,1966 American League Player Review ← 1965 | 1966 Hitting Statistics League Leaders | 1967 →,1966 American League Player Review ← 1965 | 1966 Hitting Statistics League Leaders | 1967 →
1966,Statistic,Name(s),Team(s),#,Top 25
1966,Base on Balls,Harmon Killebrew,Minnesota,103,Top 25
1966,Batting Average,Frank Robinson,Baltimore,.316,Top 25
1966,Doubles,Carl Yastrzemski,Boston,39,Top 25
1966,Hits,Tony Oliva,Minnesota,191,Top 25
1966,Home Runs,Frank Robinson,Baltimore,49,Top 25
1966,On Base Percentage,Frank Robinson,Baltimore,.415,Top 25
1966,RBI,Frank Robinson,Baltimore,122,Top 25
1966,Runs,Frank Robinson,Baltimore,122,Top 25
1966,Slugging Average,Frank Robinson,Baltimore,.637,Top 25
1966,Stolen Bases,Bert Campaneris,Kansas City,52,Top 25
1966,Total Bases,Frank Robinson,Baltimore,367,Top 25
1966,Triples,Bobby Knoop,California,11,Top 25
1966,Statistic,Name(s),Team(s),#,Top 25
1966,1966 A.L. History | 1966 N.L. History | Year-by-Year History,1966 A.L. History | 1966 N.L. History | Year-by-Year History,1966 A.L. History | 1966 N.L. History | Year-by-Year History,1966 A.L. History | 1966 N.L. History | Year-by-Year History,1966 A.L. History | 1966 N.L. History | Year-by-Year History
1967,1967 American League Player Review ← 1966 | 1967 Hitting Statistics League Leaders | 1968 →,1967 American League Player Review ← 1966 | 1967 Hitting Statistics League Leaders | 1968 →,1967 American League Player Review ← 1966 | 1967 Hitting Statistics League Leaders | 1968 →,1967 American League Player Review ← 1966 | 1967 Hitting Statistics League Leaders | 1968 →,1967 American League Player Review ← 1966 | 1967 Hitting Statistics League Leaders | 1968 →
1967,Statistic,Name(s),Team(s),#,Top 25
1967,Base on Balls,Harmon Killebrew,Minnesota,131,Top 25
1967,Batting Average,Carl Yastrzemski,Boston,.326,Top 25
1967,Doubles,Tony Oliva,Minnesota,34,Top 25
1967,Hits,Carl Yastrzemski,Boston,189,Top 25
1967,Home Runs,Harmon Killebrew,Minnesota,44,Top 25
1967,Home Runs,Carl Yastrzemski,Boston,44,Top 25
1967,On Base Percentage,Carl Yastrzemski,Boston,.421,Top 25
1967,RBI,Carl Yastrzemski,Boston,121,Top 25
1967,Runs,Carl Yastrzemski,Boston,112,Top 25
1967,Slugging Average,Carl Yastrzemski,Boston,.622,Top 25
1967,Stolen Bases,Bert Campaneris,Kansas City,55,Top 25
1967,Total Bases,Carl Yastrzemski,Boston,360,Top 25
1967,Triples,Paul Blair,Baltimore,12,Top 25
1967,Statistic,Name(s),Team(s),#,Top 25
